prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,ctr_mean,ctr_std
333,prime_length,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8598726114649683,1.1102230246251565e-16
334,prime_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9069396959336583,0.0035903992374394763
335,prime_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9167767700518793,0.004493711043929416
336,starts_one_ends,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9392780588184859,0.0069964846094486615
337,starts_one_ends,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9480725680320562,0.0038581569091878337
338,starts_one_ends,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9359732466115446,0.0019521481878578362
339,starts_one_ends,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9508047725816784,0.00010788111455242223
340,starts_one_ends,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9482005530703995,0.004950980910638864
341,solve_1,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9187691450849347,0.0027966883724341355
342,solve_1,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9214957456336765,0.006784594715629177
343,solve_1,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9125,0.0
344,solve_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.945848110553993,0.00011982339453508328
345,solve_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9251111111111111,0.01034229002508457
346,anti_shuffle,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8957175459793261,0.0008591757282856883
347,anti_shuffle,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8983050847457628,0.0
348,anti_shuffle,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8847248296381611,0.01943079403764119
349,anti_shuffle,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9050406565276313,0.002221051046529121
350,anti_shuffle,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9177395129277975,0.0026721195551450195
351,get_row,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9264404044929655,0.003814344719637328
352,get_row,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9405172413793104,0.004223258177212412
353,get_row,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9381019167835436,0.003206438185971444
354,get_row,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9437229437229437,0.0
355,get_row,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9508691163308596,0.003332502156791656
356,sort_array,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9189697431866424,0.005938769426989538
357,sort_array,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9349552095036163,0.013544755084018523
358,sort_array,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9197826086956521,0.0020652173913043637
359,sort_array,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9354388775587268,0.004981165676126827
360,sort_array,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9333333333333333,0.0
361,encrypt,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.874418604651163,1.1102230246251565e-16
362,encrypt,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.909090909090909,1.1102230246251565e-16
363,encrypt,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8779331430900938,0.0008088408853054642
364,encrypt,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9033812670034977,0.00019039951362483323
365,encrypt,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9070524227857003,0.0037694487011898543
366,next_smallest,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9192136186727146,0.0019792933371690752
367,next_smallest,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9430322531218878,9.959396307359648e-05
368,next_smallest,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8608036219581212,0.0011771363893605003
369,next_smallest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9375530775030756,0.00040826449143573264
370,next_smallest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9264069264069266,1.1102230246251565e-16
371,is_bored,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8165088893436513,0.0020750084336228643
372,is_bored,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8443394199785178,0.001117078410311523
373,is_bored,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.832258064516129,0.0
374,is_bored,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8371850371850371,0.0008436008436008447
375,is_bored,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8546529644268773,0.0010998499398425785
376,any_int,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9263803680981596,1.1102230246251565e-16
377,any_int,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9514893617021277,0.003404255319148941
378,any_int,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8974358974358975,0.0
379,any_int,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.917008200549194,0.006976177314630305
380,any_int,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9266055045871561,1.1102230246251565e-16
381,encode,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9103965909641178,0.00448359460932662
382,encode,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9074074074074074,0.0
383,encode,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9219512195121953,1.1102230246251565e-16
384,encode,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.7580771611305963,0.00264080874767898
385,encode,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.7700617283950618,0.0006300127939257083
386,skjkasdkd,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9318181818181819,1.1102230246251565e-16
387,skjkasdkd,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9403966029922657,0.00961780285285172
388,skjkasdkd,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9123752031576504,0.0027165080102159234
389,skjkasdkd,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9338037503411174,0.00014323942981463454
390,skjkasdkd,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9221875154940753,0.0007536318111954099
391,check_dict_case,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8489040060468632,0.0024069060208753617
392,check_dict_case,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9156302851524091,0.00014945919370696893
393,check_dict_case,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9215686274509803,0.0
394,check_dict_case,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9013100436681223,0.0034934497816593965
395,check_dict_case,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9242290748898678,0.006474422227620731
396,count_up_to,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8831168831168832,1.1102230246251565e-16
397,count_up_to,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9281723337779321,0.013095333517354988
398,count_up_to,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9120829073333953,0.001505716144623115
399,count_up_to,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9469026548672567,0.0
400,count_up_to,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9399141630901287,1.1102230246251565e-16
401,multiply,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9097744360902256,0.0
402,multiply,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9366912784343977,0.004528721782141472
403,multiply,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9073269841269841,0.006653968253968224
404,multiply,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9364058387173966,0.0033787987556831655
405,multiply,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9184966257819813,0.003802768336535145
406,count_upper,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8596491228070174,1.1102230246251565e-16
407,count_upper,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9002681871543178,0.0006177246499079471
408,count_upper,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8653846153846153,1.1102230246251565e-16
409,count_upper,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9035012476606363,0.0008577666874610035
410,count_upper,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9087415322965364,0.0019257509283974164
411,closest_integer,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8670325602167155,0.0045893456049136035
412,closest_integer,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9425792366769326,0.0001241408391726579
413,closest_integer,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8800000000000001,1.1102230246251565e-16
414,closest_integer,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9408705627429738,0.008437958065132855
415,closest_integer,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9414414414414415,0.0
416,make_a_pile,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9089878714051162,0.008072794063531749
417,make_a_pile,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9530643291799479,0.000585577814487462
418,make_a_pile,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9387203523715684,0.0010155339114515645
419,make_a_pile,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9540126050420168,0.0001886861846681713
420,make_a_pile,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9375,0.0
421,words_string,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8489405331510594,0.000558097457913681
422,words_string,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8747591612864658,0.0048074207172734045
423,words_string,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8024691358024691,0.0
424,words_string,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8837911852802739,0.0008386820710312381
425,words_string,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8863482911572046,0.0013233792754738809
426,choose_num,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9469962184710148,0.00011459154385169675
427,choose_num,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9502123747939649,0.007390675892551867
428,choose_num,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.905511811023622,0.0
429,choose_num,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9602102102601636,0.0002815274322495633
430,choose_num,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9364406779661018,1.1102230246251565e-16
431,rounded_avg,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.930635838150289,0.0
432,rounded_avg,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9312863606981254,0.005647390701956456
433,rounded_avg,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8954248366013072,0.0
434,rounded_avg,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9363708436526427,0.005704166558535461
435,rounded_avg,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9259259259259259,0.0
436,unique_digits,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9010989010989011,0.0
437,unique_digits,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.923694779116466,1.1102230246251565e-16
438,unique_digits,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8913989567204341,0.009190013111882948
439,unique_digits,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9429733520336605,0.021918295314104733
440,unique_digits,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9275465668375542,0.003858749241977638
441,by_length,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8423025235179932,0.01108250548101093
442,by_length,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8521754385964913,0.0014450007215420716
443,by_length,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8632524970285882,0.0012258430224325156
444,by_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.875527107880731,0.004194471515761497
445,by_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.884867410176582,0.005617691677009733
446,even_odd_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.925466079392781,0.00805442444453533
447,even_odd_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9342102932057756,0.0001240145274160831
448,even_odd_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9017341040462428,0.0
449,even_odd_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9435425144570571,0.0018536868189834813
450,even_odd_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9053248585791138,0.005766584890759337
451,solve_2,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.935301365137253,0.0031836774924843604
452,solve_2,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9449384732803985,0.002799763665285656
453,solve_2,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9304812834224598,1.1102230246251565e-16
454,solve_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9471118991331757,0.0036485421591804902
455,solve_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9486206896551724,0.0006896551724137723
456,add_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9308506850085274,0.0005876167833203627
457,add_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9465020576131687,0.0
458,add_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8918918918918919,0.0
459,add_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.953818214190332,0.00031336241431496604
460,add_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9311235128173678,0.013437192290687832
461,get_odd_collatz,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9320388349514562,1.1102230246251565e-16
462,get_odd_collatz,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9289586868581317,0.007927516470711984
463,get_odd_collatz,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9326681049982021,0.001258540093491556
464,get_odd_collatz,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9478260869565217,0.0
465,get_odd_collatz,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9304041511235258,0.014177800023934711
466,valid_date,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8641975308641975,0.0
467,valid_date,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8786610878661086,1.1102230246251565e-16
468,valid_date,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8646616541353384,0.0
469,valid_date,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.886297315755707,8.27831701814663e-05
470,valid_date,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8813132209405502,0.004607735807187528
471,split_words,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8884074074074075,0.004173204746963915
472,split_words,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9308129395218003,0.013929676511955025
473,split_words,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9218068887634105,0.00013551665725577424
474,split_words,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9204500637977032,0.0018752618376486176
475,split_words,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9224898275802944,0.003583236346236403
476,is_sorted,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9477307419431126,0.004953453873110725
477,is_sorted,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9465323683067174,0.003247135767708589
478,is_sorted,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9092276144907723,0.0002734107997266033
479,is_sorted,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9557875159139865,0.0014724527649728218
480,is_sorted,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9454938131060857,0.0010784513586039207
481,intersection,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9327354260089686,0.0
482,intersection,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8835341365461847,0.0
483,intersection,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9381532217148655,0.003323186199898531
484,intersection,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9547325102880657,1.1102230246251565e-16
485,intersection,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8913032258064515,0.0003483870967742053
486,prod_signs,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.925,0.0
487,prod_signs,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9373335229831923,0.003572359038681164
488,prod_signs,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9166666666666666,0.0
489,prod_signs,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9283841757999062,0.005113897952787396
490,prod_signs,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9371325726943496,0.00021019434097557511
491,minPath,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9485499141480535,0.004955427240695642
492,minPath,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.923728813559322,0.0
493,minPath,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9512195121951219,0.0
494,minPath,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9349593495934959,0.0
495,minPath,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9411686586985392,0.004012001792075163
496,tri,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9327349193396521,0.00018450741895297958
497,tri,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.95,0.0
498,tri,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.930635838150289,0.0
499,tri,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9519088669950738,0.0008295685705238773
500,tri,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9530293819655522,0.0003242147922999372
