prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,ppl_mean,ppl_std,comp_ratio_mean
1,has_close_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,24.183152364950015,0.0398596783876365,0.4487087438970262
2,has_close_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,22.43241776662671,0.1388802761481143,0.43273945234457634
3,has_close_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,21.15563826420344,0.0,0.7013574660633484
4,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.133707719517297,0.09126267406903095,0.46090445649740586
5,has_close_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.255585188304238,0.03513859043493548,0.4110452219112498
6,separate_paren_groups,Zero-Shot,Short,Abstract,Natural Language,Imperative,16.05655785278766,0.7892334952795287,0.49071439200558603
7,separate_paren_groups,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.757350335869493,0.0,0.38392857142857145
8,separate_paren_groups,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,14.143697887526807,0.0,0.5148809523809523
9,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,18.062566594355033,0.9571268397381445,0.4181687942317781
10,separate_paren_groups,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,18.981311577990645,0.046416205738871515,0.4160392483139126
11,truncate_number,Zero-Shot,Short,Abstract,Natural Language,Imperative,17.258879993736343,0.0,1.0847457627118644
12,truncate_number,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.454729673252295,0.20460785563139713,0.35221526046549106
13,truncate_number,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,19.61144152360377,0.0,0.9753086419753088
14,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.040672885360898,0.1267816940947171,0.4252790289697027
15,truncate_number,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,23.369317471119817,0.0729170880124391,0.4856493574104629
16,below_zero,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.17761542630236,0.0,0.2887383573243014
17,below_zero,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.32436781552347,0.01186714450219597,0.29221070433078633
18,below_zero,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,16.766388464953135,0.0,0.6116504854368932
19,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.520815714149503,0.0,0.5175600739371534
20,below_zero,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,23.9807828966693,0.25259226436456966,0.45580915266200633
21,mean_absolute_deviation,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.96905979250927,0.0,0.5102040816326531
22,mean_absolute_deviation,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,22.740334125756156,0.0,0.37178265014299333
23,mean_absolute_deviation,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,20.735684461828615,0.0,0.7300613496932515
24,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.347682366284353,0.014309614107424633,0.38560657719743685
25,mean_absolute_deviation,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.265689062162913,0.07281515924052968,0.3877068557919622
26,intersperse,Zero-Shot,Short,Abstract,Natural Language,Imperative,19.197151664648562,0.6111516016787857,0.5434312132320522
27,intersperse,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.974463299474024,0.365411075232711,0.41652558492847047
28,intersperse,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,16.819379886273133,0.10047931842045774,0.6185581234908589
29,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.01736708098114,0.3931953968682585,0.4612634591795012
30,intersperse,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,19.64867511405938,0.03416266937312145,0.482561533116337
31,parse_nested_parens,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.014595443454745,0.0,0.4865350089766607
32,parse_nested_parens,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.47415836144033,0.1820338651472643,0.36687282397269727
33,parse_nested_parens,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,16.60451138352559,0.0,0.4882943143812709
34,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.622432874864423,0.0,0.38562091503267976
35,parse_nested_parens,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,19.321240273178176,1.1089984953774394,0.3935347685515146
36,filter_by_substring,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.208331957788687,0.0,0.4590443686006826
37,filter_by_substring,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,20.507202036144484,0.44802902002500183,0.38608748844023555
38,filter_by_substring,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,17.604029131869808,0.0,0.6644736842105263
39,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,18.284283481764156,0.23229316139645997,0.3997146548541898
40,filter_by_substring,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,20.510370944612095,0.16816393304989552,0.4152771472294666
41,sum_product,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.515860210831082,0.0,0.6305220883534136
42,sum_product,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,23.335982431786576,0.1536302430712813,0.3882196881644526
43,sum_product,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,19.44416956231823,0.0,0.6868131868131868
44,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,21.093534691550754,1.5908232627311099,0.47750272719644204
45,sum_product,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.337757579407043,0.05937390455199469,0.43873044389550114
46,rolling_max,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.68428524757798,0.09613124114875557,0.40703297472775857
47,rolling_max,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,23.75068515927615,0.0,0.3392116182572614
48,rolling_max,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,25.87759674480257,0.38243084767080404,0.6585140375368388
49,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,25.062545752567974,0.8558496987761741,0.4400802840821368
50,rolling_max,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,25.830985876457778,0.0,0.43869516310461193
51,make_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,24.446072319215855,0.0,0.6796536796536796
52,make_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,23.504804691771774,0.0,0.45304777594728174
53,make_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,18.879582408316434,0.0,0.8101265822784811
54,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,18.926032936126433,0.325797734021707,0.5234333062236616
55,make_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,22.0490427868981,1.1121715249074984,0.45818887393033636
56,string_xor,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.81009864627612,0.8701575200415684,0.5241573640170676
57,string_xor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,24.042488780675892,0.5658481504786347,0.4865379045529766
58,string_xor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,22.460579868779607,0.0,0.8907563025210085
59,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,23.17858818726364,0.0,0.5079950799507995
60,string_xor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.57564475069376,1.0735395487473203,0.43031188735106995
61,longest,Zero-Shot,Short,Abstract,Natural Language,Imperative,17.97406088630711,0.0,0.8055555555555556
62,longest,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,16.857823324128926,0.0,0.516320474777448
63,longest,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,19.328756287791887,0.0,0.8045112781954888
64,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,17.621240921213786,0.15199155676466775,0.5270991845097015
65,longest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,18.89652696735433,0.05330119317111013,0.42251920122887865
66,greatest_common_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,23.098893488173665,0.0,0.5209580838323353
67,greatest_common_divisor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,20.861118920810743,0.07846151205692502,0.45353210958325574
68,greatest_common_divisor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,19.01589228905682,0.0,0.8608695652173914
69,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.96007636219594,0.372494592223234,0.44586694221224815
70,greatest_common_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,22.203000560738808,0.01605423835061539,0.455510476899389
71,all_prefixes,Zero-Shot,Short,Abstract,Natural Language,Imperative,24.914418662944534,0.31255426076625376,0.8659555555555556
72,all_prefixes,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,20.92003001587711,0.06315563645345605,0.4141264861768831
73,all_prefixes,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,19.34994200388893,0.0,0.5973154362416108
74,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.615489695784568,0.14947564731845728,0.45204937411343105
75,all_prefixes,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.138203377175824,0.26052639403408384,0.45018417672288236
76,string_sequence,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.952554055163752,0.04146390044955978,0.592998258572029
77,string_sequence,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.205687438545283,0.0,0.4195171026156942
78,string_sequence,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,23.018664278267266,0.052820676758787495,0.5960013878046665
79,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,21.534928657158368,0.07704517294071438,0.48252467532467536
80,string_sequence,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,22.024555132300573,0.02259162826499761,0.502967009561853
81,count_distinct_characters,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.278627422944254,0.0,0.4625850340136054
82,count_distinct_characters,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.14842507623111,0.03329492192833295,0.389213416996019
83,count_distinct_characters,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,18.885330349218382,0.0,0.5028571428571429
84,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,21.8827349942815,0.0,0.4300225733634312
85,count_distinct_characters,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.647715307737197,0.0,0.4398200224971879
86,parse_music,Zero-Shot,Short,Abstract,Natural Language,Imperative,19.733377279021987,0.01985459267863945,0.4251214511239418
87,parse_music,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,18.38455021586186,0.0,0.4094017094017094
88,parse_music,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,18.552779902602147,0.7836975931801808,0.3989877020107863
89,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.37844047603706,0.1347979836414524,0.4097308796416995
90,parse_music,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,19.92717293826806,0.17202792955167853,0.4325040828065993
91,how_many_times,Zero-Shot,Short,Abstract,Natural Language,Imperative,20.218436572036627,0.0,0.4566473988439307
92,how_many_times,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.73185487282098,0.0,0.4279398762157383
93,how_many_times,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,20.44508826917483,0.1478940485672515,0.4518204524804307
94,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.999966918430186,0.016503401799886318,0.43195887420483087
95,how_many_times,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.243681083622786,0.0,0.4373881932021467
96,sort_numbers,Zero-Shot,Short,Abstract,Natural Language,Imperative,23.89854310003441,0.0,0.44510978043912175
97,sort_numbers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,22.20976420934214,0.14321914233408395,0.4325504792618034
98,sort_numbers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,23.094995763011585,0.0,0.4386317907444668
99,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,21.769467294973648,0.0,0.4245014245014246
100,sort_numbers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.866452071502593,0.1018074361652154,0.4345722125218258
101,find_closest_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.0003929830878,0.06798487229430492,0.4277065690089265
102,find_closest_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.20874615796877,0.21036639451615094,0.3786247111893498
103,find_closest_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,22.719076661454046,0.07707955738665219,0.4814572233229647
104,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.905823718299793,0.12538384033781777,0.41193505943755726
105,find_closest_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,20.50110411442966,0.2753648345989771,0.4152169901922512
106,rescale_to_unit,Zero-Shot,Short,Abstract,Natural Language,Imperative,22.57225017751862,0.16120501390282585,0.46563485669037163
107,rescale_to_unit,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,22.097949692311584,0.3435424614318548,0.42609123236662433
108,rescale_to_unit,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,25.540227569755103,0.33243559034342696,0.48202922832787687
109,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,21.03828220535953,0.6059183199418371,0.41320914494162053
110,rescale_to_unit,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.898456735993886,0.02924258722977792,0.413282782889687
111,filter_integers,Zero-Shot,Short,Abstract,Natural Language,Imperative,24.072112884153473,0.0,0.5717439293598234
112,filter_integers,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,22.368948481422812,0.040510839048019325,0.4496001246120426
113,filter_integers,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,23.384460064009296,1.7489306176391652,0.5673665649914892
114,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,21.290570403284516,0.14791714084510496,0.42524130289655543
115,filter_integers,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,22.705098487905552,0.0,0.5059523809523809
116,strlen,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.600261103818486,0.001999123429377494,0.6348869827911744
117,strlen,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.21196942795992,0.0,0.39285714285714285
118,strlen,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,16.585606918890026,0.29535590628239133,0.9393744987971131
119,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.24542657860915,0.06613106544095756,0.4766037556108481
120,strlen,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,21.344905270418487,0.0,0.49002849002849
121,largest_divisor,Zero-Shot,Short,Abstract,Natural Language,Imperative,20.96155294595538,0.0,0.48141891891891897
122,largest_divisor,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.449250936478627,0.010675608077367777,0.43549695740365113
123,largest_divisor,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,20.321664139038667,0.0,0.5358744394618834
124,largest_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.754866734913378,0.2876445415036686,0.43414426924412125
125,largest_divisor,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,20.827075568953838,0.0,0.4633569739952719
126,factorize,Zero-Shot,Short,Abstract,Natural Language,Imperative,18.376763881885847,0.0,0.5318725099601593
127,factorize,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,18.64711643906088,0.031837075870609514,0.4144747428416746
128,factorize,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,18.545277768357902,0.024462669581264845,0.5277669902912621
129,factorize,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,18.25326211143541,0.1435651029590665,0.4060325220774653
130,factorize,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,18.891188548504694,0.1459701092792681,0.424772298627582
131,remove_duplicates,Zero-Shot,Short,Abstract,Natural Language,Imperative,24.782708993128104,0.2042598186248256,0.5495796746364144
132,remove_duplicates,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.644834845079934,0.13631564629442672,0.4265604518382321
133,remove_duplicates,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,25.1119256561733,0.0,0.53584229390681
134,remove_duplicates,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.49744622708565,0.007251713902664392,0.42383061862119603
135,remove_duplicates,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,20.218773485245304,0.130379155291687,0.4333353401565322
136,change_base,Zero-Shot,Short,Abstract,Natural Language,Imperative,26.318973445843643,0.10865791046332021,0.5023061003252193
137,change_base,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,23.0408069962999,0.0,0.49394221808014904
138,change_base,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,25.098507181833686,0.1704109075225105,0.4706799933276528
139,change_base,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,22.189107088261924,0.08424302730383956,0.473381857324632
140,change_base,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,22.91888039999693,0.0,0.4847926267281106
141,triangle_area,Zero-Shot,Short,Abstract,Natural Language,Imperative,20.930871726026837,0.0816482817930943,0.48992169739833297
142,triangle_area,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,19.46146933539207,0.04555585620972522,0.3883459465536747
143,triangle_area,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,18.817199563360234,1.1706605376397974,0.5276511059305169
144,triangle_area,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.227756783319613,0.0,0.4488888888888889
145,triangle_area,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,20.857160765937966,0.0,0.4733656174334141
146,fib4,Zero-Shot,Short,Abstract,Natural Language,Imperative,18.527429490272826,0.7611906373923946,0.45765564148845883
147,fib4,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,18.911094237159773,0.30733049988492667,0.4373997877482131
148,fib4,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,17.293416118422282,0.0,0.4400606980273142
149,fib4,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,20.968637152017976,0.0,0.4656679151061174
150,fib4,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,19.87841611379969,0.0,0.44228432563791015
151,median,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.42226762107542,0.0,0.4315443592552026
152,median,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.463504750806013,0.19216370128359586,0.3869981167608286
153,median,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,21.61538670401778,0.0,0.4604966139954853
154,median,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,22.04084521712225,0.0,0.4151486097794822
155,median,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,19.68779479111006,0.0,0.3930530164533821
156,is_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,24.112109930920397,0.00503899175550484,0.5259945965486407
157,is_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.278165706712535,0.09043178712302423,0.46980509843715923
158,is_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,22.601650929918904,0.0,0.6188235294117647
159,is_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,22.51543377983246,1.6167629379833117,0.47787615628966124
160,is_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,23.698403221041698,0.0,0.5343137254901961
161,modp,Zero-Shot,Short,Abstract,Natural Language,Imperative,20.78755711924824,0.0,0.6217008797653959
162,modp,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,21.85045348079666,0.18386787774988958,0.5053624559665572
163,modp,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,19.15688554786148,0.0,0.6431718061674009
164,modp,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,19.106844386096743,0.5356332791634886,0.4813976781242887
165,modp,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,22.881971454046013,0.002647730380581947,0.5304944577265812
166,encode_shift,Zero-Shot,Short,Abstract,Natural Language,Imperative,21.750867788037468,0.0,0.4467496542185339
